2025-05-25 21:09:49 ERROR Version:262 -  [DUBBO] Duplicate class org/apache/dubbo/common/Version.class in 2 jar [file:/C:/Users/Administrator/.m2/repository/org/apache/dubbo/dubbo/3.0.9/dubbo-3.0.9.jar!/org/apache/dubbo/common/Version.class, file:/C:/Users/Administrator/.m2/repository/org/apache/dubbo/dubbo-common/3.0.9/dubbo-common-3.0.9.jar!/org/apache/dubbo/common/Version.class], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  FrameworkModel:313 -  [DUBBO] Reset global default framework from null to Dubbo Framework[1], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  FrameworkModel:77 -  [DUBBO] Dubbo Framework[1] is created, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  ApplicationModel:203 -  [DUBBO] Dubbo Application[1.0](unknown) is created, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  ScopeModel:59 -  [DUBBO] Dubbo Module[1.0.0] is created, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  AbstractConfigManager:137 -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  AbstractConfigManager:137 -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  FrameworkModel:294 -  [DUBBO] Reset global default application from null to Dubbo Application[1.1](unknown), dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  ApplicationModel:203 -  [DUBBO] Dubbo Application[1.1](unknown) is created, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  ScopeModel:59 -  [DUBBO] Dubbo Module[1.1.0] is created, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  AbstractConfigManager:137 -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  AbstractConfigManager:137 -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  DubboSpringInitializer:115 -  [DUBBO] Use default application: Dubbo Application[1.1](unknown), dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  ScopeModel:59 -  [DUBBO] Dubbo Module[1.1.1] is created, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  AbstractConfigManager:137 -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:52 INFO  DubboSpringInitializer:125 -  [DUBBO] Use default module model of target application: Dubbo Module[1.1.1], dubbo version: 3.0.9, current host: 192.168.31.169
